task,repeat,direct_generation_status,intent_generation_status,direct_seed_ms,intent_seed_ms,intent_over_direct_seed,direct_optimization_status,intent_optimization_status,direct_optimized_ms,intent_optimized_ms,intent_over_direct_optimized,direct_optimization_speedup,intent_optimization_speedup
fused_layer_norm_relu_linear,0,pass,pass,0.17387200146913528,0.2024959996342659,1.1646268399930495,candidate_budget,phase_time_budget,0.14313600212335587,0.2024959996342659,1.4147104615912989,1.214732833737321,1.0
fused_layer_norm_relu_linear,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_layer_norm_relu_linear,2,not_run,not_run,,,,not_run,not_run,,,,,
softplus_linear,0,pass,pass,0.007840000092983246,0.05302399955689907,6.763265169391419,candidate_budget,candidate_budget,0.007840000092983246,0.016176000237464905,2.063265311940791,1.0,3.2779425555454225
softplus_linear,1,not_run,not_run,,,,not_run,not_run,,,,,
softplus_linear,2,not_run,not_run,,,,not_run,not_run,,,,,
permute_copy,0,pass,pass,0.005927999969571829,0.016143999993801117,2.723346841543114,not_run,not_run,,,,,
permute_copy,1,not_run,not_run,,,,not_run,not_run,,,,,
permute_copy,2,not_run,not_run,,,,not_run,not_run,,,,,
ifftshift,0,pass,pass,0.006152000045403838,0.006440000142902136,1.0468140597159883,not_run,not_run,,,,,
ifftshift,1,not_run,not_run,,,,not_run,not_run,,,,,
ifftshift,2,not_run,not_run,,,,not_run,not_run,,,,,
grid_sample,0,pass,pass,0.028320000506937504,0.030479999259114265,1.076271141013844,candidate_budget,candidate_budget,0.028320000506937504,0.028336000628769398,1.0005649760432729,1.0,1.0756634169526407
grid_sample,1,not_run,not_run,,,,not_run,not_run,,,,,
grid_sample,2,not_run,not_run,,,,not_run,not_run,,,,,
fused_gather_masked_fill,0,pass,pass,0.028384000062942505,0.01809599995613098,0.6375422743800195,candidate_budget,candidate_budget,0.017088000662624836,0.01809599995613098,1.0589887204130826,1.661048628411191,1.0
fused_gather_masked_fill,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_gather_masked_fill,2,not_run,not_run,,,,not_run,not_run,,,,,
fused_index_select_eq,0,pass,pass,0.0038720000302419066,0.0038720000302419066,1.0,candidate_budget,candidate_budget,0.0038720000302419066,0.0038720000302419066,1.0,1.0,1.0
fused_index_select_eq,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_index_select_eq,2,not_run,not_run,,,,not_run,not_run,,,,,
